DocId,Highest
imh-11-1,Doctorate
imh-11-10,Doctorate
imh-11-101,Master
imh-11-102,Doctorate
imh-11-103,Doctorate
imh-11-104,Bachelor
imh-11-105,Certificate
imh-11-106,Bachelor
imh-11-107,Certificate
imh-11-108,Doctorate
imh-11-109,Doctorate
imh-11-11,Master
imh-11-110,Master
imh-11-111,Bachelor
imh-11-112,Doctorate
imh-11-113,Bachelor
imh-11-114,Master
imh-11-115,Master
imh-11-116,Master
imh-11-117,Doctorate
imh-11-118,Bachelor
imh-11-119,Bachelor
imh-11-12,Doctorate
imh-11-120,Doctorate
imh-11-121,Bachelor
imh-11-122,Certificate
imh-11-123,Bachelor
imh-11-125,Bachelor
imh-11-127,Master
imh-11-128,Master
imh-11-129,Doctorate
imh-11-13,Bachelor
imh-11-130,Bachelor
imh-11-131,Certificate
imh-11-132,Master
imh-11-133,Doctorate
imh-11-134,Bachelor
imh-11-135,Master
imh-11-136,Bachelor
imh-11-137,Doctorate
imh-11-138,Bachelor
imh-11-139,Master
imh-11-14,Bachelor
imh-11-141,Doctorate
imh-11-142,Master
imh-11-143,Master
imh-11-144,Bachelor
imh-11-145,Master
imh-11-146,Bachelor
imh-11-147,Bachelor
imh-11-148,Bachelor
imh-11-149,Bachelor
imh-11-15,Master
imh-11-150,Master
imh-11-151,Bachelor
imh-11-152,Bachelor
imh-11-153,Master
imh-11-154,Juren
imh-11-158,Bachelor
imh-11-159,Master
imh-11-16,Master
imh-11-160,Bachelor
imh-11-161,Doctorate
imh-11-163,Master
imh-11-164,Master
imh-11-165,Master
imh-11-166,Master
imh-11-167,Master
imh-11-168,Bachelor
imh-11-169,Bachelor
imh-11-17,Master
imh-11-171,Master
imh-11-172,Master
imh-11-174,Certificate
imh-11-175,Bachelor
imh-11-176,Bachelor
imh-11-177,Bachelor
imh-11-178,Bachelor
imh-11-18,Master
imh-11-180,Master
imh-11-181,Master
imh-11-182,Master
imh-11-184,Master
imh-11-186,Bachelor
imh-11-187,Master
imh-11-188,Bachelor
imh-11-189,Bachelor
imh-11-19,Master
imh-11-190,Bachelor
imh-11-191,Bachelor
imh-11-192,Doctorate
imh-11-193,Doctorate
imh-11-194,Doctorate
imh-11-195,Bachelor
imh-11-196,Master
imh-11-197,Bachelor
imh-11-198,Master
imh-11-199,Doctorate
imh-11-20,Bachelor
imh-11-201,Master
imh-11-202,Master
imh-11-203,Master
imh-11-204,Doctorate
imh-11-205,Certificate
imh-11-206,Bachelor
imh-11-208,Master
imh-11-209,Bachelor
imh-11-21,Master
imh-11-210,Master
imh-11-211,Master
imh-11-212,Master
imh-11-213,Master
imh-11-215,Master
imh-11-216,Bachelor
imh-11-218,Master
imh-11-219,Bachelor
imh-11-22,Bachelor
imh-11-220,Bachelor
imh-11-222,Master
imh-11-223,Master
imh-11-224,Bachelor
imh-11-225,Master
imh-11-226,Bachelor
imh-11-227,Master
imh-11-228,Bachelor
imh-11-229,Bachelor
imh-11-23,Doctorate
imh-11-231,Bachelor
imh-11-232,Bachelor
imh-11-234,Doctorate
imh-11-235,Bachelor
imh-11-237,Master
imh-11-238,Bachelor
imh-11-239,Bachelor
imh-11-240,Bachelor
imh-11-241,Bachelor
imh-11-242,Master
imh-11-243,Master
imh-11-244,Certificate
imh-11-245,Master
imh-11-247,Master
imh-11-249,Bachelor
imh-11-25,Bachelor
imh-11-250,Bachelor
imh-11-251,Master
imh-11-252,Doctorate
imh-11-253,Master
imh-11-254,Bachelor
imh-11-255,Bachelor
imh-11-257,Master
imh-11-258,Bachelor
imh-11-26,Bachelor
imh-11-260,Master
imh-11-261,Master
imh-11-262,Bachelor
imh-11-263,Bachelor
imh-11-264,Certificate
imh-11-265,Bachelor
imh-11-266,Master
imh-11-267,Bachelor
imh-11-268,Doctorate
imh-11-269,Bachelor
imh-11-27,Master
imh-11-270,Bachelor
imh-11-271,Bachelor
imh-11-272,Bachelor
imh-11-274,Doctorate
imh-11-275,Bachelor
imh-11-276,Bachelor
imh-11-277,Bachelor
imh-11-279,Master
imh-11-28,Certificate
imh-11-280,Certificate
imh-11-281,Master
imh-11-282,Bachelor
imh-11-283,Bachelor
imh-11-284,Master
imh-11-285,Master
imh-11-286,Master
imh-11-289,Doctorate
imh-11-29,Doctorate
imh-11-290,Bachelor
imh-11-291,Bachelor
imh-11-293,Bachelor
imh-11-294,Bachelor
imh-11-295,Master
imh-11-297,Bachelor
imh-11-298,Doctorate
imh-11-299,Master
imh-11-3,Bachelor
imh-11-302,Master
imh-11-303,Doctorate
imh-11-304,Bachelor
imh-11-305,Master
imh-11-306,Master
imh-11-307,Master
imh-11-308,Bachelor
imh-11-309,Certificate
imh-11-31,Master
imh-11-311,Master
imh-11-313,Master
imh-11-314,Master
imh-11-315,Doctorate
imh-11-316,Master
imh-11-318,Master
imh-11-319,Bachelor
imh-11-32,Master
imh-11-320,Master
imh-11-321,Doctorate
imh-11-323,Master
imh-11-324,Master
imh-11-325,Master
imh-11-326,Master
imh-11-327,Master
imh-11-328,Certificate
imh-11-329,Bachelor
imh-11-33,Master
imh-11-331,Certificate
imh-11-332,Certificate
imh-11-335,Bachelor
imh-11-336,Doctorate
imh-11-337,Bachelor
imh-11-338,Bachelor
imh-11-339,Master
imh-11-34,Bachelor
imh-11-340,Master
imh-11-341,Certificate
imh-11-342,Doctorate
imh-11-343,Bachelor
imh-11-344,Master
imh-11-345,Doctorate
imh-11-346,Doctorate
imh-11-347,Master
imh-11-349,Master
imh-11-35,Bachelor
imh-11-350,Bachelor
imh-11-351,Bachelor
imh-11-352,Master
imh-11-353,Bachelor
imh-11-354,Master
imh-11-355,Bachelor
imh-11-356,Master
imh-11-359,Bachelor
imh-11-36,Master
imh-11-360,Master
imh-11-361,Master
imh-11-362,Doctorate
imh-11-363,Master
imh-11-365,Bachelor
imh-11-366,Master
imh-11-367,Bachelor
imh-11-369,Master
imh-11-37,Bachelor
imh-11-370,Certificate
imh-11-371,Master
imh-11-372,Doctorate
imh-11-373,Bachelor
imh-11-374,Master
imh-11-375,Bachelor
imh-11-376,Master
imh-11-377,Bachelor
imh-11-378,Doctorate
imh-11-379,Bachelor
imh-11-38,Master
imh-11-380,Certificate
imh-11-381,Bachelor
imh-11-382,Bachelor
imh-11-383,Bachelor
imh-11-384,Certificate
imh-11-385,Doctorate
imh-11-386,Doctorate
imh-11-387,Master
imh-11-388,Master
imh-11-389,Bachelor
imh-11-39,Doctorate
imh-11-390,Master
imh-11-391,Bachelor
imh-11-392,Bachelor
imh-11-393,Master
imh-11-395,Doctorate
imh-11-396,Master
imh-11-397,Doctorate
imh-11-398,Master
imh-11-399,Master
imh-11-40,Master
imh-11-400,Bachelor
imh-11-41,Bachelor
imh-11-42,Doctorate
imh-11-43,Doctorate
imh-11-44,Bachelor
imh-11-45,Master
imh-11-46,Bachelor
imh-11-47,Certificate
imh-11-48,Bachelor
imh-11-49,Master
imh-11-5,Bachelor
imh-11-50,Bachelor
imh-11-51,Master
imh-11-52,Master
imh-11-53,Master
imh-11-54,Master
imh-11-55,Master
imh-11-58,Bachelor
imh-11-59,Bachelor
imh-11-6,Master
imh-11-61,Doctorate
imh-11-62,Master
imh-11-63,Master
imh-11-64,Bachelor
imh-11-65,Bachelor
imh-11-66,Bachelor
imh-11-67,Master
imh-11-68,Bachelor
imh-11-69,Certificate
imh-11-7,Bachelor
imh-11-70,Certificate
imh-11-71,Bachelor
imh-11-72,Bachelor
imh-11-73,Master
imh-11-74,Doctorate
imh-11-75,Bachelor
imh-11-76,Doctorate
imh-11-77,Bachelor
imh-11-78,Certificate
imh-11-79,Bachelor
imh-11-8,Bachelor
imh-11-80,Bachelor
imh-11-81,Master
imh-11-82,Master
imh-11-83,Master
imh-11-84,Doctorate
imh-11-85,Bachelor
imh-11-86,Master
imh-11-87,Master
imh-11-88,Bachelor
imh-11-89,Bachelor
imh-11-9,Doctorate
imh-11-91,Master
imh-11-92,Master
imh-11-93,Master
imh-11-94,Master
imh-11-95,Master
imh-11-97,Doctorate
imh-11-99,Bachelor